ImageNameInternal,ObjectId,PatchId,PercentageOfWhite
3x4@_0_114057.jpg,114057,0,93
3x4@_0_118215.jpg,118215,0,91
3x4@_0_141800.jpg,141800,0,94
3x4@_0_143945.jpg,143945,0,90
3x4@_0_144455.jpg,144455,0,94
3x4@_0_155278.jpg,155278,0,90
3x4@_0_155377.jpg,155377,0,94
3x4@_0_159329.jpg,159329,0,90
3x4@_0_168537.jpg,168537,0,90
3x4@_0_171738.jpg,171738,0,90
3x4@_0_171810.jpg,171810,0,92
3x4@_0_171927.jpg,171927,0,93
3x4@_0_172047.jpg,172047,0,94
3x4@_0_175440.jpg,175440,0,93
3x4@_0_177564.jpg,177564,0,92
3x4@_0_177798.jpg,177798,0,91
3x4@_0_180612.jpg,180612,0,93
3x4@_0_184464.jpg,184464,0,91
3x4@_0_184473.jpg,184473,0,93
3x4@_0_187584.jpg,187584,0,94
3x4@_0_191136.jpg,191136,0,92
3x4@_0_191139.jpg,191139,0,92
3x4@_0_191469.jpg,191469,0,92
3x4@_0_191784.jpg,191784,0,93
3x4@_0_192090.jpg,192090,0,93
3x4@_0_195696.jpg,195696,0,94
3x4@_0_195789.jpg,195789,0,94
3x4@_0_195798.jpg,195798,0,94
3x4@_0_199185.jpg,199185,0,93
3x4@_0_199200.jpg,199200,0,94
3x4@_0_199446.jpg,199446,0,90
3x4@_0_202182.jpg,202182,0,90
3x4@_0_202287.jpg,202287,0,92
3x4@_0_205203.jpg,205203,0,94
3x4@_0_205329.jpg,205329,0,93
3x4@_0_207966.jpg,207966,0,91
3x4@_0_217327.jpg,217327,0,92
3x4@_0_217336.jpg,217336,0,93
3x4@_0_217357.jpg,217357,0,94
3x4@_0_217768.jpg,217768,0,93
3x4@_0_218245.jpg,218245,0,92
3x4@_0_219184.jpg,219184,0,91
3x4@_0_221215.jpg,221215,0,94
3x4@_0_221284.jpg,221284,0,90
3x4@_0_221326.jpg,221326,0,93
3x4@_0_221422.jpg,221422,0,94
3x4@_0_224167.jpg,224167,0,94
3x4@_0_227209.jpg,227209,0,91
3x4@_0_227266.jpg,227266,0,91
3x4@_0_228487.jpg,228487,0,94
3x4@_0_228496.jpg,228496,0,90
3x4@_0_228541.jpg,228541,0,91
3x4@_0_228697.jpg,228697,0,91
3x4@_0_228715.jpg,228715,0,91
3x4@_0_231265.jpg,231265,0,93
3x4@_0_231271.jpg,231271,0,93
3x4@_0_231427.jpg,231427,0,94
3x4@_0_233710.jpg,233710,0,91
3x4@_0_233770.jpg,233770,0,94
3x4@_0_233788.jpg,233788,0,91
3x4@_0_233845.jpg,233845,0,91
3x4@_0_234016.jpg,234016,0,90
3x4@_0_235876.jpg,235876,0,93
3x4@_0_236035.jpg,236035,0,90
3x4@_0_236080.jpg,236080,0,90
3x4@_0_236128.jpg,236128,0,91
3x4@_0_237976.jpg,237976,0,94
3x4@_0_237994.jpg,237994,0,90
3x4@_0_238102.jpg,238102,0,94
3x4@_0_238111.jpg,238111,0,90
3x4@_0_238135.jpg,238135,0,92
3x4@_0_238162.jpg,238162,0,90
3x4@_0_239854.jpg,239854,0,90
3x4@_0_239965.jpg,239965,0,94
3x4@_0_239968.jpg,239968,0,91
3x4@_0_240082.jpg,240082,0,90
3x4@_0_241552.jpg,241552,0,94
3x4@_0_241555.jpg,241555,0,94
3x4@_0_241570.jpg,241570,0,92
3x4@_0_241576.jpg,241576,0,93
3x4@_0_241585.jpg,241585,0,91
3x4@_0_241642.jpg,241642,0,92
3x4@_0_243529.jpg,243529,0,94
3x4@_0_246805.jpg,246805,0,90
3x4@_0_248239.jpg,248239,0,92
3x4@_0_248326.jpg,248326,0,94
3x4@_0_248530.jpg,248530,0,94
3x4@_0_249415.jpg,249415,0,92
3x4@_0_249424.jpg,249424,0,92
3x4@_0_249523.jpg,249523,0,94
3x4@_0_249721.jpg,249721,0,90
3x4@_0_251581.jpg,251581,0,93
3x4@_0_251632.jpg,251632,0,92
3x4@_0_251755.jpg,251755,0,93
3x4@_0_256690.jpg,256690,0,90
3x4@_0_257716.jpg,257716,0,90
3x4@_0_258121.jpg,258121,0,90
3x4@_0_258163.jpg,258163,0,93
3x4@_0_261268.jpg,261268,0,92
3x4@_0_261322.jpg,261322,0,91
3x4@_0_261337.jpg,261337,0,92
3x4@_0_261449.jpg,261449,0,91
3x4@_0_261455.jpg,261455,0,90
3x4@_0_263575.jpg,263575,0,94
3x4@_0_263785.jpg,263785,0,93
3x4@_0_265333.jpg,265333,0,94
3x4@_0_265342.jpg,265342,0,93
3x4@_0_265357.jpg,265357,0,90
3x4@_0_268690.jpg,268690,0,94
3x4@_0_268696.jpg,268696,0,93
3x4@_0_268759.jpg,268759,0,94
3x4@_0_268801.jpg,268801,0,90
3x4@_0_268807.jpg,268807,0,90
3x4@_0_269734.jpg,269734,0,94
3x4@_0_269764.jpg,269764,0,93
3x4@_0_271546.jpg,271546,0,93
3x4@_0_274764.jpg,274764,0,90
3x4@_0_274779.jpg,274779,0,91
3x4@_0_275226.jpg,275226,0,94
3x4@_0_279150.jpg,279150,0,92
3x4@_0_279225.jpg,279225,0,91
3x4@_0_279231.jpg,279231,0,90
3x4@_0_282777.jpg,282777,0,92
3x4@_0_282792.jpg,282792,0,94
3x4@_0_282819.jpg,282819,0,94
3x4@_0_282969.jpg,282969,0,90
3x4@_0_282972.jpg,282972,0,94
3x4@_0_286011.jpg,286011,0,92
3x4@_0_286014.jpg,286014,0,94
3x4@_0_287607.jpg,287607,0,94
3x4@_0_288639.jpg,288639,0,93
3x4@_0_288654.jpg,288654,0,94
3x4@_0_288696.jpg,288696,0,90
3x4@_0_288729.jpg,288729,0,91
3x4@_0_288768.jpg,288768,0,91
3x4@_0_291024.jpg,291024,0,93
3x4@_0_291039.jpg,291039,0,93
3x4@_0_292524.jpg,292524,0,91
3x4@_0_292548.jpg,292548,0,90
3x4@_0_293349.jpg,293349,0,92
3x4@_0_293367.jpg,293367,0,90
3x4@_0_293373.jpg,293373,0,90
3x4@_0_293409.jpg,293409,0,92
3x4@_0_293529.jpg,293529,0,91
3x4@_0_293532.jpg,293532,0,91
3x4@_0_293649.jpg,293649,0,92
3x4@_0_297375.jpg,297375,0,94
3x4@_0_297411.jpg,297411,0,90
3x4@_0_297453.jpg,297453,0,90
3x4@_0_299394.jpg,299394,0,90
3x4@_0_299406.jpg,299406,0,93
3x4@_0_299643.jpg,299643,0,92
3x4@_0_33217.jpg,33217,0,91
3x4@_0_33911.jpg,33911,0,90
3x4@_0_34284.jpg,34284,0,92
3x4@_0_38621.jpg,38621,0,90
3x4@_0_53877.jpg,53877,0,90
3x4@_0_55543.jpg,55543,0,90
3x4@_0_56264.jpg,56264,0,90
3x4@_0_56600.jpg,56600,0,90
3x4@_0_mpn392-5101.jpg,mpn392-5101,0,90
3x4@_0_mpn394-2316.jpg,mpn394-2316,0,90
3x4@_0_mpn411-2602.jpg,mpn411-2602,0,90
3x4@_0_mpn513-8014.jpg,mpn513-8014,0,92
3x4@_0_mpn514-4011.jpg,mpn514-4011,0,91
3x4@_0_mpn514-6011.jpg,mpn514-6011,0,92
3x4@_0_mpn516-3035.jpg,mpn516-3035,0,94
3x4@_0_mpn516-9035.jpg,mpn516-9035,0,94
3x4@_0_mpn526-9602.jpg,mpn526-9602,0,93
3x4@_0_mpn593-2601.jpg,mpn593-2601,0,94
3x4@_0_mpn594-2138.jpg,mpn594-2138,0,93
3x4@_0_mpn594-3432.jpg,mpn594-3432,0,94
3x4@_0_mpn594-3518.jpg,mpn594-3518,0,91
3x4@_0_mpn594-4138.jpg,mpn594-4138,0,91
3x4@_0_mpn594-6263.jpg,mpn594-6263,0,92
