ImageNameInternal,ObjectId,PatchId,PercentageOfWhite
3x4@_10_119190.jpg,119190,10,22
3x4@_10_119382.jpg,119382,10,20
3x4@_10_119856.jpg,119856,10,21
3x4@_10_119949.jpg,119949,10,21
3x4@_10_120420.jpg,120420,10,20
3x4@_10_120477.jpg,120477,10,20
3x4@_10_121302.jpg,121302,10,24
3x4@_10_122571.jpg,122571,10,20
3x4@_10_122580.jpg,122580,10,22
3x4@_10_122667.jpg,122667,10,23
3x4@_10_122673.jpg,122673,10,20
3x4@_10_122682.jpg,122682,10,20
3x4@_10_122724.jpg,122724,10,20
3x4@_10_131739.jpg,131739,10,21
3x4@_10_131742.jpg,131742,10,23
3x4@_10_131745.jpg,131745,10,22
3x4@_10_132438.jpg,132438,10,20
3x4@_10_132981.jpg,132981,10,21
3x4@_10_142850.jpg,142850,10,21
3x4@_10_143153.jpg,143153,10,20
3x4@_10_143798.jpg,143798,10,20
3x4@_10_143816.jpg,143816,10,20
3x4@_10_143828.jpg,143828,10,21
3x4@_10_143978.jpg,143978,10,20
3x4@_10_154999.jpg,154999,10,22
3x4@_10_155236.jpg,155236,10,21
3x4@_10_155245.jpg,155245,10,22
3x4@_10_155263.jpg,155263,10,23
3x4@_10_155272.jpg,155272,10,23
3x4@_10_155317.jpg,155317,10,24
3x4@_10_155368.jpg,155368,10,22
3x4@_10_155461.jpg,155461,10,22
3x4@_10_155569.jpg,155569,10,23
3x4@_10_156168.jpg,156168,10,20
3x4@_10_162186.jpg,162186,10,20
3x4@_10_162279.jpg,162279,10,21
3x4@_10_162300.jpg,162300,10,20
3x4@_10_162351.jpg,162351,10,20
3x4@_10_162444.jpg,162444,10,20
3x4@_10_162576.jpg,162576,10,23
3x4@_10_162609.jpg,162609,10,24
3x4@_10_162825.jpg,162825,10,20
3x4@_10_162933.jpg,162933,10,23
3x4@_10_163029.jpg,163029,10,23
3x4@_10_163302.jpg,163302,10,23
3x4@_10_163356.jpg,163356,10,22
3x4@_10_163395.jpg,163395,10,22
3x4@_10_163401.jpg,163401,10,20
3x4@_10_163800.jpg,163800,10,21
3x4@_10_164076.jpg,164076,10,24
3x4@_10_164154.jpg,164154,10,24
3x4@_10_169998.jpg,169998,10,21
3x4@_10_171453.jpg,171453,10,21
3x4@_10_171486.jpg,171486,10,20
3x4@_10_171561.jpg,171561,10,22
3x4@_10_171816.jpg,171816,10,22
3x4@_10_172023.jpg,172023,10,21
3x4@_10_172041.jpg,172041,10,24
3x4@_10_174939.jpg,174939,10,23
3x4@_10_174963.jpg,174963,10,20
3x4@_10_175032.jpg,175032,10,20
3x4@_10_175044.jpg,175044,10,22
3x4@_10_175065.jpg,175065,10,22
3x4@_10_175392.jpg,175392,10,24
3x4@_10_175431.jpg,175431,10,22
3x4@_10_175470.jpg,175470,10,20
3x4@_10_175527.jpg,175527,10,21
3x4@_10_175548.jpg,175548,10,22
3x4@_10_175590.jpg,175590,10,24
3x4@_10_175683.jpg,175683,10,22
3x4@_10_175689.jpg,175689,10,23
3x4@_10_175692.jpg,175692,10,23
3x4@_10_175701.jpg,175701,10,20
3x4@_10_178149.jpg,178149,10,23
3x4@_10_179487.jpg,179487,10,23
3x4@_10_184152.jpg,184152,10,20
3x4@_10_185238.jpg,185238,10,21
3x4@_10_185547.jpg,185547,10,23
3x4@_10_189141.jpg,189141,10,23
3x4@_10_189525.jpg,189525,10,24
3x4@_10_189579.jpg,189579,10,20
3x4@_10_189585.jpg,189585,10,23
3x4@_10_189756.jpg,189756,10,24
3x4@_10_189945.jpg,189945,10,24
3x4@_10_189948.jpg,189948,10,24
3x4@_10_193824.jpg,193824,10,24
3x4@_10_193830.jpg,193830,10,24
3x4@_10_193833.jpg,193833,10,24
3x4@_10_193836.jpg,193836,10,23
3x4@_10_193863.jpg,193863,10,24
3x4@_10_194217.jpg,194217,10,21
3x4@_10_194313.jpg,194313,10,23
3x4@_10_197226.jpg,197226,10,22
3x4@_10_197238.jpg,197238,10,23
3x4@_10_197250.jpg,197250,10,24
3x4@_10_197373.jpg,197373,10,23
3x4@_10_197382.jpg,197382,10,23
3x4@_10_197385.jpg,197385,10,23
3x4@_10_197448.jpg,197448,10,23
3x4@_10_200448.jpg,200448,10,24
3x4@_10_200469.jpg,200469,10,22
3x4@_10_200502.jpg,200502,10,22
3x4@_10_200505.jpg,200505,10,23
3x4@_10_200508.jpg,200508,10,24
3x4@_10_200523.jpg,200523,10,20
3x4@_10_200640.jpg,200640,10,22
3x4@_10_200688.jpg,200688,10,21
3x4@_10_200691.jpg,200691,10,21
3x4@_10_200694.jpg,200694,10,20
3x4@_10_200697.jpg,200697,10,22
3x4@_10_200787.jpg,200787,10,23
3x4@_10_200811.jpg,200811,10,22
3x4@_10_204099.jpg,204099,10,21
3x4@_10_204210.jpg,204210,10,22
3x4@_10_204216.jpg,204216,10,21
3x4@_10_204219.jpg,204219,10,22
3x4@_10_204222.jpg,204222,10,22
3x4@_10_204228.jpg,204228,10,23
3x4@_10_204231.jpg,204231,10,22
3x4@_10_204237.jpg,204237,10,23
3x4@_10_204243.jpg,204243,10,22
3x4@_10_204249.jpg,204249,10,22
3x4@_10_204252.jpg,204252,10,23
3x4@_10_204267.jpg,204267,10,23
3x4@_10_204276.jpg,204276,10,24
3x4@_10_204279.jpg,204279,10,24
3x4@_10_204285.jpg,204285,10,24
3x4@_10_204291.jpg,204291,10,22
3x4@_10_204294.jpg,204294,10,23
3x4@_10_206820.jpg,206820,10,21
3x4@_10_207024.jpg,207024,10,23
3x4@_10_207033.jpg,207033,10,21
3x4@_10_207048.jpg,207048,10,23
3x4@_10_207069.jpg,207069,10,22
3x4@_10_207177.jpg,207177,10,23
3x4@_10_207189.jpg,207189,10,22
3x4@_10_207195.jpg,207195,10,23
3x4@_10_207222.jpg,207222,10,24
3x4@_10_207240.jpg,207240,10,21
3x4@_10_207282.jpg,207282,10,22
3x4@_10_207288.jpg,207288,10,20
3x4@_10_207300.jpg,207300,10,21
3x4@_10_207309.jpg,207309,10,22
3x4@_10_207324.jpg,207324,10,20
3x4@_10_207399.jpg,207399,10,22
3x4@_10_207426.jpg,207426,10,23
3x4@_10_207498.jpg,207498,10,23
3x4@_10_207513.jpg,207513,10,22
3x4@_10_207516.jpg,207516,10,21
3x4@_10_207519.jpg,207519,10,22
3x4@_10_209412.jpg,209412,10,21
3x4@_10_209475.jpg,209475,10,21
3x4@_10_209481.jpg,209481,10,20
3x4@_10_209523.jpg,209523,10,23
3x4@_10_209673.jpg,209673,10,23
3x4@_10_209721.jpg,209721,10,23
3x4@_10_209727.jpg,209727,10,20
3x4@_10_209754.jpg,209754,10,24
3x4@_10_209760.jpg,209760,10,22
3x4@_10_209769.jpg,209769,10,22
3x4@_10_209940.jpg,209940,10,21
3x4@_10_209970.jpg,209970,10,24
3x4@_10_209976.jpg,209976,10,23
3x4@_10_209979.jpg,209979,10,21
3x4@_10_210009.jpg,210009,10,20
3x4@_10_210015.jpg,210015,10,22
3x4@_10_212200.jpg,212200,10,20
3x4@_10_212206.jpg,212206,10,20
3x4@_10_212227.jpg,212227,10,20
3x4@_10_212236.jpg,212236,10,20
3x4@_10_212239.jpg,212239,10,21
3x4@_10_212242.jpg,212242,10,20
3x4@_10_212245.jpg,212245,10,20
3x4@_10_212257.jpg,212257,10,20
3x4@_10_212263.jpg,212263,10,20
3x4@_10_212473.jpg,212473,10,24
3x4@_10_212563.jpg,212563,10,21
3x4@_10_215239.jpg,215239,10,24
3x4@_10_215389.jpg,215389,10,22
3x4@_10_215434.jpg,215434,10,24
3x4@_10_215443.jpg,215443,10,23
3x4@_10_215467.jpg,215467,10,24
3x4@_10_215614.jpg,215614,10,24
3x4@_10_215683.jpg,215683,10,24
3x4@_10_215839.jpg,215839,10,22
3x4@_10_215893.jpg,215893,10,22
3x4@_10_215902.jpg,215902,10,23
3x4@_10_215905.jpg,215905,10,21
3x4@_10_217666.jpg,217666,10,22
3x4@_10_217846.jpg,217846,10,24
3x4@_10_218461.jpg,218461,10,21
3x4@_10_218467.jpg,218467,10,20
3x4@_10_218470.jpg,218470,10,23
3x4@_10_218542.jpg,218542,10,20
3x4@_10_219511.jpg,219511,10,23
3x4@_10_219535.jpg,219535,10,24
3x4@_10_219547.jpg,219547,10,22
3x4@_10_219922.jpg,219922,10,22
3x4@_10_222499.jpg,222499,10,24
3x4@_10_222508.jpg,222508,10,22
3x4@_10_222514.jpg,222514,10,22
3x4@_10_222520.jpg,222520,10,24
3x4@_10_222577.jpg,222577,10,24
3x4@_10_222580.jpg,222580,10,21
3x4@_10_222607.jpg,222607,10,20
3x4@_10_222610.jpg,222610,10,22
3x4@_10_222613.jpg,222613,10,22
3x4@_10_222616.jpg,222616,10,21
3x4@_10_222619.jpg,222619,10,21
3x4@_10_222628.jpg,222628,10,20
3x4@_10_222742.jpg,222742,10,21
3x4@_10_222757.jpg,222757,10,24
3x4@_10_222763.jpg,222763,10,23
3x4@_10_222790.jpg,222790,10,21
3x4@_10_222793.jpg,222793,10,22
3x4@_10_222796.jpg,222796,10,20
3x4@_10_222799.jpg,222799,10,23
3x4@_10_222844.jpg,222844,10,23
3x4@_10_222877.jpg,222877,10,21
3x4@_10_222889.jpg,222889,10,23
3x4@_10_222904.jpg,222904,10,22
3x4@_10_222931.jpg,222931,10,20
3x4@_10_222946.jpg,222946,10,23
3x4@_10_224836.jpg,224836,10,21
3x4@_10_224845.jpg,224845,10,21
3x4@_10_224959.jpg,224959,10,23
3x4@_10_224965.jpg,224965,10,22
3x4@_10_225331.jpg,225331,10,22
3x4@_10_225334.jpg,225334,10,21
3x4@_10_225346.jpg,225346,10,22
3x4@_10_225361.jpg,225361,10,21
3x4@_10_225412.jpg,225412,10,23
3x4@_10_225424.jpg,225424,10,21
3x4@_10_225430.jpg,225430,10,22
3x4@_10_225433.jpg,225433,10,21
3x4@_10_225436.jpg,225436,10,22
3x4@_10_225442.jpg,225442,10,21
3x4@_10_225448.jpg,225448,10,24
3x4@_10_225463.jpg,225463,10,22
3x4@_10_225469.jpg,225469,10,21
3x4@_10_227017.jpg,227017,10,22
3x4@_10_227089.jpg,227089,10,23
3x4@_10_227098.jpg,227098,10,24
3x4@_10_227113.jpg,227113,10,24
3x4@_10_227119.jpg,227119,10,23
3x4@_10_227122.jpg,227122,10,21
3x4@_10_227125.jpg,227125,10,24
3x4@_10_227161.jpg,227161,10,23
3x4@_10_227167.jpg,227167,10,23
3x4@_10_227170.jpg,227170,10,21
3x4@_10_227173.jpg,227173,10,21
3x4@_10_227182.jpg,227182,10,21
3x4@_10_227188.jpg,227188,10,23
3x4@_10_227212.jpg,227212,10,23
3x4@_10_227215.jpg,227215,10,20
3x4@_10_227227.jpg,227227,10,21
3x4@_10_227230.jpg,227230,10,23
3x4@_10_227329.jpg,227329,10,24
3x4@_10_227407.jpg,227407,10,20
3x4@_10_227419.jpg,227419,10,22
3x4@_10_227446.jpg,227446,10,21
3x4@_10_227461.jpg,227461,10,20
3x4@_10_228208.jpg,228208,10,23
3x4@_10_228379.jpg,228379,10,24
3x4@_10_228394.jpg,228394,10,23
3x4@_10_230842.jpg,230842,10,23
3x4@_10_230860.jpg,230860,10,21
3x4@_10_230875.jpg,230875,10,20
3x4@_10_231010.jpg,231010,10,23
3x4@_10_231016.jpg,231016,10,24
3x4@_10_231061.jpg,231061,10,24
3x4@_10_231067.jpg,231067,10,23
3x4@_10_231076.jpg,231076,10,21
3x4@_10_231157.jpg,231157,10,20
3x4@_10_231178.jpg,231178,10,22
3x4@_10_231313.jpg,231313,10,21
3x4@_10_231331.jpg,231331,10,22
3x4@_10_231340.jpg,231340,10,20
3x4@_10_231349.jpg,231349,10,20
3x4@_10_231355.jpg,231355,10,21
3x4@_10_231358.jpg,231358,10,20
3x4@_10_233416.jpg,233416,10,21
3x4@_10_233428.jpg,233428,10,22
3x4@_10_233656.jpg,233656,10,24
3x4@_10_233719.jpg,233719,10,20
3x4@_10_234973.jpg,234973,10,20
3x4@_10_234985.jpg,234985,10,24
3x4@_10_235096.jpg,235096,10,21
3x4@_10_235180.jpg,235180,10,21
3x4@_10_235327.jpg,235327,10,21
3x4@_10_235354.jpg,235354,10,21
3x4@_10_237004.jpg,237004,10,21
3x4@_10_237016.jpg,237016,10,24
3x4@_10_237022.jpg,237022,10,22
3x4@_10_237028.jpg,237028,10,23
3x4@_10_237043.jpg,237043,10,21
3x4@_10_237046.jpg,237046,10,24
3x4@_10_237064.jpg,237064,10,22
3x4@_10_237100.jpg,237100,10,23
3x4@_10_237112.jpg,237112,10,24
3x4@_10_237121.jpg,237121,10,23
3x4@_10_237205.jpg,237205,10,24
3x4@_10_237217.jpg,237217,10,24
3x4@_10_237235.jpg,237235,10,22
3x4@_10_237241.jpg,237241,10,24
3x4@_10_237505.jpg,237505,10,24
3x4@_10_238975.jpg,238975,10,23
3x4@_10_239185.jpg,239185,10,23
3x4@_10_239188.jpg,239188,10,23
3x4@_10_239215.jpg,239215,10,23
3x4@_10_239317.jpg,239317,10,24
3x4@_10_239329.jpg,239329,10,23
3x4@_10_240841.jpg,240841,10,21
3x4@_10_240931.jpg,240931,10,23
3x4@_10_240982.jpg,240982,10,21
3x4@_10_240991.jpg,240991,10,22
3x4@_10_241102.jpg,241102,10,24
3x4@_10_241105.jpg,241105,10,22
3x4@_10_241132.jpg,241132,10,20
3x4@_10_241138.jpg,241138,10,23
3x4@_10_242716.jpg,242716,10,21
3x4@_10_242737.jpg,242737,10,23
3x4@_10_242833.jpg,242833,10,22
3x4@_10_242935.jpg,242935,10,22
3x4@_10_242968.jpg,242968,10,21
3x4@_10_242992.jpg,242992,10,24
3x4@_10_243043.jpg,243043,10,24
3x4@_10_243046.jpg,243046,10,24
3x4@_10_243055.jpg,243055,10,22
3x4@_10_243067.jpg,243067,10,23
3x4@_10_243100.jpg,243100,10,24
3x4@_10_245419.jpg,245419,10,21
3x4@_10_245470.jpg,245470,10,21
3x4@_10_245635.jpg,245635,10,20
3x4@_10_245638.jpg,245638,10,22
3x4@_10_245875.jpg,245875,10,21
3x4@_10_245923.jpg,245923,10,24
3x4@_10_247519.jpg,247519,10,23
3x4@_10_247534.jpg,247534,10,22
3x4@_10_247582.jpg,247582,10,24
3x4@_10_247585.jpg,247585,10,24
3x4@_10_247591.jpg,247591,10,23
3x4@_10_247606.jpg,247606,10,22
3x4@_10_247612.jpg,247612,10,20
3x4@_10_247624.jpg,247624,10,21
3x4@_10_247642.jpg,247642,10,22
3x4@_10_247648.jpg,247648,10,21
3x4@_10_247654.jpg,247654,10,22
3x4@_10_247660.jpg,247660,10,24
3x4@_10_247666.jpg,247666,10,21
3x4@_10_247669.jpg,247669,10,20
3x4@_10_247672.jpg,247672,10,24
3x4@_10_247678.jpg,247678,10,23
3x4@_10_247690.jpg,247690,10,24
3x4@_10_247693.jpg,247693,10,24
3x4@_10_247696.jpg,247696,10,23
3x4@_10_247705.jpg,247705,10,22
3x4@_10_247708.jpg,247708,10,24
3x4@_10_247780.jpg,247780,10,21
3x4@_10_247813.jpg,247813,10,22
3x4@_10_247840.jpg,247840,10,23
3x4@_10_247843.jpg,247843,10,21
3x4@_10_247852.jpg,247852,10,20
3x4@_10_247855.jpg,247855,10,21
3x4@_10_247879.jpg,247879,10,20
3x4@_10_249241.jpg,249241,10,21
