ImageNameInternal,ObjectId,PatchId,PercentageOfWhite
6x8@_0_288663.jpg,288663,0,31
6x8@_10_112614.jpg,112614,10,33
6x8@_10_129429.jpg,129429,10,33
6x8@_10_139704.jpg,139704,10,31
6x8@_10_139782.jpg,139782,10,33
6x8@_10_140790.jpg,140790,10,33
6x8@_10_141063.jpg,141063,10,34
6x8@_10_160847.jpg,160847,10,33
6x8@_10_163272.jpg,163272,10,31
6x8@_10_163911.jpg,163911,10,31
6x8@_10_172563.jpg,172563,10,32
6x8@_10_177870.jpg,177870,10,30
6x8@_10_177996.jpg,177996,10,31
6x8@_10_182532.jpg,182532,10,30
6x8@_10_183645.jpg,183645,10,31
6x8@_10_183828.jpg,183828,10,31
6x8@_10_188661.jpg,188661,10,33
6x8@_10_188664.jpg,188664,10,33
6x8@_10_188688.jpg,188688,10,33
6x8@_10_192855.jpg,192855,10,32
6x8@_10_192864.jpg,192864,10,31
6x8@_10_193032.jpg,193032,10,34
6x8@_10_197025.jpg,197025,10,33
6x8@_10_197187.jpg,197187,10,34
6x8@_10_199806.jpg,199806,10,32
6x8@_10_203145.jpg,203145,10,32
6x8@_10_203682.jpg,203682,10,30
6x8@_10_207678.jpg,207678,10,34
6x8@_10_207756.jpg,207756,10,34
6x8@_10_207834.jpg,207834,10,30
6x8@_10_207843.jpg,207843,10,30
6x8@_10_207888.jpg,207888,10,30
6x8@_10_207891.jpg,207891,10,34
6x8@_10_208002.jpg,208002,10,33
6x8@_10_208122.jpg,208122,10,33
6x8@_10_208155.jpg,208155,10,31
6x8@_10_208158.jpg,208158,10,34
6x8@_10_208161.jpg,208161,10,33
6x8@_10_209421.jpg,209421,10,30
6x8@_10_212308.jpg,212308,10,31
6x8@_10_212332.jpg,212332,10,30
6x8@_10_215239.jpg,215239,10,30
6x8@_10_215770.jpg,215770,10,32
6x8@_10_217867.jpg,217867,10,32
6x8@_10_218395.jpg,218395,10,30
6x8@_10_219901.jpg,219901,10,32
6x8@_10_220546.jpg,220546,10,34
6x8@_10_222973.jpg,222973,10,32
6x8@_10_222985.jpg,222985,10,31
6x8@_10_225541.jpg,225541,10,33
6x8@_10_225613.jpg,225613,10,30
6x8@_10_225919.jpg,225919,10,34
6x8@_10_227773.jpg,227773,10,30
6x8@_10_229552.jpg,229552,10,32
6x8@_10_229876.jpg,229876,10,32
6x8@_10_233023.jpg,233023,10,31
6x8@_10_233044.jpg,233044,10,32
6x8@_10_233134.jpg,233134,10,31
6x8@_10_237811.jpg,237811,10,33
6x8@_10_237877.jpg,237877,10,30
6x8@_10_239587.jpg,239587,10,32
6x8@_10_239695.jpg,239695,10,30
6x8@_10_239785.jpg,239785,10,33
6x8@_10_239788.jpg,239788,10,33
6x8@_10_241621.jpg,241621,10,30
6x8@_10_241735.jpg,241735,10,34
6x8@_10_241840.jpg,241840,10,30
6x8@_10_244426.jpg,244426,10,31
6x8@_10_246625.jpg,246625,10,31
6x8@_10_246829.jpg,246829,10,30
6x8@_10_246991.jpg,246991,10,31
6x8@_10_248317.jpg,248317,10,31
6x8@_10_248644.jpg,248644,10,30
6x8@_10_250534.jpg,250534,10,31
6x8@_10_250624.jpg,250624,10,32
6x8@_10_250663.jpg,250663,10,30
6x8@_10_253132.jpg,253132,10,31
6x8@_10_253195.jpg,253195,10,30
6x8@_10_253258.jpg,253258,10,31
6x8@_10_253276.jpg,253276,10,30
6x8@_10_256567.jpg,256567,10,32
6x8@_10_256591.jpg,256591,10,34
6x8@_10_256615.jpg,256615,10,30
6x8@_10_256663.jpg,256663,10,30
6x8@_10_257899.jpg,257899,10,30
6x8@_10_258292.jpg,258292,10,30
6x8@_10_258295.jpg,258295,10,32
6x8@_10_259855.jpg,259855,10,31
6x8@_10_269878.jpg,269878,10,32
6x8@_10_270259.jpg,270259,10,33
6x8@_10_272065.jpg,272065,10,34
6x8@_10_273315.jpg,273315,10,30
6x8@_10_275589.jpg,275589,10,30
6x8@_10_275703.jpg,275703,10,32
6x8@_10_277125.jpg,277125,10,33
6x8@_10_281553.jpg,281553,10,33
6x8@_10_284403.jpg,284403,10,34
6x8@_10_284412.jpg,284412,10,30
6x8@_10_284415.jpg,284415,10,31
6x8@_10_289911.jpg,289911,10,34
6x8@_10_292815.jpg,292815,10,31
6x8@_10_293019.jpg,293019,10,33
6x8@_10_294309.jpg,294309,10,34
6x8@_10_298521.jpg,298521,10,34
6x8@_10_mpn944-4124.jpg,mpn944-4124,10,30
6x8@_10_mpn969-7637.jpg,mpn969-7637,10,34
6x8@_10_mpn969-9030.jpg,mpn969-9030,10,32
6x8@_10_mpn990-0802.jpg,mpn990-0802,10,31
