"id";"title";"brand";"price";"categories";"tags"
"mpn854-4231";"men's health footwear Tom (054.6)";"Medi";1549;"Men,Health shoes - MEDI";"walking,glued,other leather "
"mpn854-4232";"men's health footwear Paul (164.6)";"Medi";1549;"Men,All low boots";"walking,glued,smooth leather "
"mpn854-6233";"men's health footwear Dan (055.6)";"Medi";1549;"Men,Health shoes - MEDI";"walking,glued,smooth leather "
"mpn901-0589";"Laces Cotton Round of 80 cm";"Bata";19;"Accessories,Laces";"of the shoelace "
"mpn901-2124";"Laces Round Cotton 120 cm";"Bata";29;"Accessories,Laces";"of the shoelace "
"mpn901-4124";"brown round laces";"Bata";29;"Accessories,Laces";"of the shoelace "
"mpn901-4161";"Laces Round Cotton 160 cm";"Bata";29;"Accessories,Laces";"of the shoelace "
"mpn941-4102";"Women wallet";"Bata";419;"Accessories,Wallet,women";"wallet,synthetic "
"mpn901-4901";"Round cotton laces 90 cm";"Bata";19;"Accessories,Laces";"of the shoelace "
"mpn901-6101";"Laces Round Cotton 100 cm";"Bata";19;"Accessories,Laces";"of the shoelace "
"mpn901-6124";"Black round laces";"Bata";29;"Accessories,Laces";"of the shoelace "
"mpn901-6161";"Laces Round Cotton 160 cm";"Bata";29;"Accessories,Laces";"of the shoelace "
"mpn901-6803";"black laces 80 cm";"Bata";29;"Accessories,Laces";"of the shoelace "
"mpn902-6006";"foam to stretch leather shoes";"Collonil";129;"Accessories,Shoe care";"Collonil Stretch "
"mpn902-6023";"Fat on smooth leather";"Collonil";139;"Accessories,Shoe care";"Collonil Nilfett "
"mpn902-6024";"Crepe brush with a small brush perlonov˝m";"Collonil";119;"Accessories,Shoe care";"Small goods "
"mpn944-3129";"Men's leather wallet";"Bata";599;"Accessories,Wallet,Men";"wallet,other leather "
"mpn902-6036";"Cleaning rubber on smooth leathers";"Collonil";89;"Accessories,Shoe care";"Attending means "
"mpn902-6037";"Cleaning cushion for suede leather";"Collonil";79;"Accessories,Shoe care";"Small goods "
"mpn902-6038";"cleaning gum crepe to suede and nubuck leather";"Collonil";89;"Accessories,Shoe care";"Attending means "
"mpn902-6039";"Impregnation spray";"Collonil";169;"Accessories,Shoe care";"Collonil Nubuk + Velours Neutral "
"mpn974-5312";"elegant leather jacket";"Bata";2999;"Accessories,Jackets,women";"jacket,smooth leather "
"mpn902-6056";"Special Wax impregnation";"Collonil";129;"Accessories,Shoe care";"Collonil Special Wax "
"mpn902-6070";"Waterstop universal impregnation";"Collonil";169;"Accessories,Shoe care";"Collonil Waterstop "
"mpn902-6072";"Waterstop cream in a tube with a sponge sponge";"Collonil";129;"Accessories,Shoe care";"Collonil Waterstop Multicolor "
"mpn902-6073";"Waterstop cream in a tube with a sponge sponge";"Collonil";129;"Accessories,Shoe care";"Collonil Waterstop Black "
"mpn974-6312";"elegant leather jacket";"Bata";2999;"Accessories,Jackets,women";"jacket,smooth leather "
"mpn902-6074";"Waterstop cream in a tube with a sponge sponge";"Collonil";129;"Accessories,Shoe care";"Collonil Waterstop Brown DK "
"mpn902-6075";"Colorless waterstop cream in a tube with a sponge sponge";"Collonil";129;"Accessories,Shoe care";"Collonil Waterstop Farblos "
"mpn902-6076";"Vario universal impregnation on leather and combined materials";"Collonil";169;"Accessories,Shoe care";"Collonil Vario "
"mpn969-6209";"elegant handbag";"Bata";699;"Accessories,all handbags";"handbag,textiles "
"mpn544-4494";"Women's medical footwear";"Medi";1449;"Women,shoes,without a heel";"walking,glued,other leather "
"mpn544-5494";"Women's medical footwear";"Medi";1449;"Women,Health shoes - MEDI";"Women's walking shoes glued,Chap. hill. mat. Smooth leather "
"mpn544-6494";"Women's medical footwear";"Medi";1449;"Women,Health shoes - MEDI";"Women's walking shoes glued,Chap. hill. mat. Smooth leather "
"mpn544-6213";"Women's medical footwear";"Medi";1299;"Women,Health shoes - MEDI";"walking,glued,smooth leather "
"mpn902-6002";"cleaning emulsion";"Collonil";239;"Accessories,Shoe care";"Collonil Clean and Care "
"mpn113-9017";"";"Biomecanics";1699;"Children,all children's shoes";"walking,glued,velours "
"mpn944-6122";"leather men's wallet";"Bata";599;"Accessories,Wallet,Men";"wallet,smooth leather "
"mpn901-6140";"Wide black laces";"Bata";29;"Accessories,Laces";"of the shoelace "
"mpn901-4140";"Brown flat laces";"Bata";29;"Accessories,Laces";"of the shoelace "
"mpn902-6089";"o impregnation";"Collonil";199;"Accessories,Shoe care";"Collonil Nanopro "
"mpn854-6231";"men's health footwear Paul (164.6)";"Medi";1549;"Men,Health shoes - MEDI";"walking,glued,smooth leather "
"mpn902-6007";"Shoe care";"Collonil";159;"Accessories,Shoe care";"Collonil Color Stop "
"mpn854-8205";"Men's health shoes";"Medi";1399;"Men,Health shoes - MEDI";"walking,glued,other leather "
"mpn894-6230";"Men's medical shoes Sam";"Medi";1649;"Men,All shoes";"men's winter boots glued,base surface material smooth leather "
"mpn902-6009";"Polishing sponge MINI POLISH";"Collonil";29;"Accessories,Shoe care";"Attending means "
"mpn553-8205";"Women's medical footwear";"Medi";1199;"Women,Health shoes - MEDI";"walking,glued,velours "
"mpn594-6347";"Women's leather winter boots";"Bata";1399;"Women,ankle boots,without a heel";"of winter,glued,smooth leather "
"mpn544-3999";"Women's medical footwear";"Medi";1449;"Women,shoes,without a heel";"Women's walking shoes glued,Basic hill. Mat. Other skins "
"mpn544-5999";"Women's health shoes Silva";"Medi";1449;"Women,Health shoes - MEDI";"Women's walking shoes glued,Basic hill. Mat. Other skins "
"mpn544-6999";"Women's health shoes Silva";"Medi";1449;"Women,shoes,without a heel";"Women's walking shoes glued,Chap. hill. mat. Smooth leather "
"mpn901-1122";"white laces";"Bata";29;"Accessories,Laces";"of the shoelace "
"mpn224-1006";"";"Biomecanics";1799;"Children,all children's shoes";"fashion,glued,smooth leather "
"mpn999-4012";"polishing brush shoes";"Bata";59;"Accessories,Shoe care";"brush shoes "
"mpn999-4015";"polishing brush shoes";"Bata";89;"Accessories,Shoe care";"Shoe brush "
"mpn179-5210";"Children's household footwear";"Bata";199;"Children,Domestic footwear";"home,glued,textiles "
"mpn179-9210";"Baby slippers to the ankles";"Bata";199;"Children,Domestic footwear";"home,glued,textiles "
"mpn694-6130";"Leather ankle boots with skidded heel";"Bata";999;"Women,All shoes";"walking,glued,smooth leather "
"mpn854-6836";"men's leather shoes";"Bata Comfit";999;"Men,shoes,Casual";"walking,Flexible,smooth leather "
"mpn990-0801";"Cleaning brush";"Bata";79;"Accessories,Shoe care";"Care product "
"mpn990-0802";"Cleaning rubber for sanding the skin";"Bata";49;"Accessories,Shoe care";"Attending means "
"mpn990-0803";"Sponge to overfill";"Bata";79;"Accessories,Shoe care";"Polishing sponge "
"mpn990-0806";"Attending blacking";"Bata";99;"Accessories,Shoe care";"Bata Daily Care Cream Neutral "
"mpn990-0808";"A tool for reviving cut leather";"Bata";99;"Accessories,Shoe care";"Bata Suede Renovator "
"mpn990-0809";"Waterproof care";"Bata";129;"Accessories,Shoe care";"Bata Waterstop "
"mpn990-0810";"protective care";"Bata";129;"Accessories,Shoe care";"Bata Combi Protector "
"mpn990-6806";"Footwear for leather";"Bata";99;"Accessories,Shoe care";"Bata Daily Care Cream Black "
"mpn879-0166";"Men's slippers";"Bata";199;"Men,Domestic footwear";" "
"mpn954-6819";"Classic leather strap";"Bata";499;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn961-6693";"handbag in a hobo style";"Bata";1199;"Accessories,Club prizes";"handbag,leatherette "
"mpn998-0007";"Feetexpert active 4 in 1 spray for feet and boots";"Bata";139;"Accessories,Shoe care";"Feetexpert "
"mpn824-6938";"leather shoes";"Bata Comfit";999;"Men,All shoes";"walking,glued,smooth leather "
"mpn594-6295";"Women's medical footwear";"Medi";1649;"Women,Health shoes - MEDI";"women's winter boots glued,base surface material smooth leather "
"mpn990-4806";"Footwear for leather";"Bata";99;"Accessories,Shoe care";"Bata Daily Care Cream Brown DK "
"mpn534-4001";"Women's medical footwear";"Medi";1449;"Women,Health shoes - MEDI";"Women's walking shoes glued,Chap. hill. mat. Smooth leather "
"mpn544-6004";"Women's medical footwear";"Medi";1449;"Women,Health shoes - MEDI";"walking,glued,smooth leather "
"mpn834-6001";"Men's footwear DIA";"Bata";1549;"Men,shoes,Casual";"walking,glued,smooth leather "
"mpn954-4833";"Classic leather strap";"Bata";499;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn954-6833";"Classic leather strap";"Bata";499;"Accessories,Belts,Men";"Belt,smooth leather "
"mpn854-4836";"Leather lacing shoes";"Bata";999;"Men,shoes,Casual";"walking,Flexible,smooth leather "
"mpn596-6141";"Women leather boots with buckle";"Bata";1199;"Women,All shoes";"of winter,glued,other leather "
"mpn944-5357";"Women's leather wallet";"Bata";799;"Accessories,Wallet,women";"wallet,smooth leather "
"mpn944-6357";"Women's leather wallet";"Bata";799;"Accessories,Wallet,women";"wallet,smooth leather "
"mpn990-0831";"Mini polishing sponge";"Bata Accessories";25;"Accessories,Shoe care";"Attending means "
"mpn990-0834";"o impregnation";"Bata";179;"Accessories,Shoe care";"Bata Waterstop NanoTech "
"mpn990-6835";"Self-adhesive sole protection";"Bata";99;"Accessories,insoles for shoes";"Other small goods "
"mpn804-6572";"Sports leather sneakers";"Nike";1199;"Men,All shoes";"walking,glued,smooth leather "
"mpn696-3336";"leather winter boots with fur";"Bata";1599;"Women,All shoes";"walking,glued,other leather "
"mpn104-5001";"Girls' leather home footwear";"-";599;"Children,Domestic footwear";"home,glued,smooth leather "
"mpn671-6835";"Women's low-heeled sandals";"Bata";699;"Women,All shoes";"walking,glued,leatherette "
"mpn954-6360";"Men's leather belt";"Bata";499;"Accessories,Belts,Men";"Belt,smooth leather "
